Meter Readings,

Timestamp,Distribution Transformer,Hardware,Meter Number,Customer,Meter Reading (kWh),Usage Amount (kWh),Anomalous?,Customer Tags
2026-07-01 09:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12807,0,true,
2026-07-01 08:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12787,0,true,
2026-07-01 07:00:21+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12778,3,false,
2026-07-01 06:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12775,1,false,
2026-07-01 05:00:15+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12774,0,false,
2026-07-01 04:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12774,0,false,
2026-07-01 03:00:20+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12774,1,false,
2026-07-01 02:00:13+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12773,7,false,
2026-06-30 15:00:14+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12766,0,true,
2026-06-30 14:00:12+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12748,0,true,
2026-06-30 13:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12715,0,true,
2026-06-30 12:00:16+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12678,0,true,
2026-06-30 11:00:21+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12649,0,true,
2026-06-30 10:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12630,0,true,
